ss_item_sk,avg(ss_net_profit),sum(ss_net_profit)
2816,-853.0629,-149286
2817,-1069.9722,-115557
2818,-1006.6667,-114760
2819,-786.1250,-100624
2820,-1121.1410,-87449
2821,-860.5563,-252143
2822,-763.7831,-126788
2823,-794.2358,-84189
2824,-913.2991,-97723
2825,-874.4569,-101437
2826,-783.3871,-48570
2827,-797.7148,-215383
2828,-825.1215,-149347
2829,-764.0000,-94736
2830,-930.8416,-94015
2831,-717.5088,-81796
2832,-693.3667,-41602
2833,-698.6790,-189342
2834,-783.6219,-157508
2835,-834.5000,-110154
2836,-831.9091,-91510
2837,-967.0420,-115078
2838,-730.2877,-53311
2839,-813.1799,-235009
2840,-864.8439,-149618
2841,-834.8772,-95176
2842,-1181.6311,-121708
2843,-1083.6985,-147383
2844,-908.8361,-55439
2845,-966.5382,-253233
2846,-745.5404,-147617
2847,-943.7586,-109476
2848,-974.4701,-114013
2849,-804.8939,-106246
2850,-754.1961,-38464
2851,-918.4252,-276446
2852,-606.3557,-90347
2853,-816.8049,-100467
2854,-900.3761,-105344
2855,-957.2182,-105294
2856,-922.2400,-46112
2857,-664.5489,-210662
2858,-835.8901,-152132
2859,-711.4167,-76833
2860,-658.8992,-78409
2861,-604.9643,-67756
2862,-820.9630,-44332
2863,-824.3836,-251437
2864,-768.7747,-139917
2865,-915.2562,-110746
2866,-951.4902,-97052
2867,-829.6378,-105364
2868,-421.0556,-22737
2869,-841.1655,-238891
2870,-780.7229,-129600
2871,-702.4113,-87099
2872,-495.5094,-52524
2873,-825.1333,-99016
2874,-817.7872,-38436
2875,-1031.3444,-311466
2876,-965.3195,-163139
2877,-669.4846,-87033
2878,-799.3578,-87130
2879,-1073.0744,-129842
2880,-852.1667,-51130
2881,-742.2531,-237521
2882,-731.3351,-137491
2883,-1001.1456,-103118
2884,-999.8374,-122980
2885,-828.4926,-112675
2886,-550.3088,-37421
2887,-890.2715,-259069
2888,-818.6159,-123611
2889,-1088.0862,-126218
2890,-820.3986,-117317
2891,-689.9505,-69685
2892,-556.2000,-30591
2893,-734.3333,-218097
2894,-923.7558,-158886
2895,-624.8780,-76860
2896,-887.6500,-124271
2897,-761.9292,-86098
2898,-859.6338,-61034
2899,-883.8592,-251016
2900,-939.6460,-151283
2901,-647.4628,-78343
2902,-670.5128,-78450
2903,-763.5984,-93159
2904,-591.2407,-31927
2905,-727.9518,-241680
2906,-892.3222,-160618
2907,-830.2430,-88836
2908,-704.3504,-96496
2909,-528.4151,-56012
2910,-875.7838,-64808
2911,-692.4510,-176575
2912,-1020.7048,-169437
2913,-589.3298,-55397
2914,-921.6981,-97700
2915,-705.6957,-81155
2916,-778.9024,-31935
2917,-753.4651,-226793
2918,-788.5955,-140370
2919,-960.3984,-118129
2920,-782.7925,-82976
2921,-651.1892,-72282
2922,-735.0714,-30873
2923,-876.9967,-265730
2924,-902.2699,-147070
2925,-1124.6613,-139458
2926,-1116.6415,-118364
2927,-641.7477,-68667
2928,-762.5893,-42705
2929,-624.4794,-166736
2930,-730.9726,-160083
2931,-789.3585,-83672
2932,-814.9492,-96164
2933,-854.1583,-102499
2934,-741.9667,-44518
2935,-744.5596,-206243
2936,-574.1111,-108507
2937,-801.1071,-89724
2938,-840.7154,-103408
2939,-846.3636,-93100
2940,-1040.3077,-54096
2941,-739.9081,-209394
2942,-688.2258,-128010
2943,-794.6321,-84231
2944,-855.8230,-96708
2945,-864.5794,-108937
2946,-1423.5833,-68332
2947,-957.7167,-280611
2948,-844.9103,-131806
2949,-1118.9297,-143223
2950,-894.6019,-92144
2951,-757.9752,-91715
2952,-1023.9375,-65532
2953,-867.8356,-258615
2954,-805.3481,-145768
2955,-729.7304,-83919
2956,-927.7525,-93703
2957,-846.0917,-92224
2958,-891.4912,-50815
2959,-617.4016,-153733
2960,-834.0924,-153473
2961,-830.7080,-93870
2962,-974.5760,-121822
2963,-861.0089,-96433
2964,-1286.9688,-82366
2965,-772.8734,-244228
2966,-708.7349,-117650
2967,-868.9912,-99065
2968,-504.3931,-73137
2969,-820.8750,-91938
2970,-633.8235,-32325
2971,-705.8118,-202568
2972,-994.3593,-166058
2973,-808.1951,-99408
2974,-1027.7607,-120248
2975,-824.8435,-94857
2976,-754.6769,-49054
2977,-816.2308,-233442
2978,-876.5333,-144628
2979,-647.4615,-75753
2980,-806.0536,-90278
2981,-724.7573,-74650
2982,-1032.1806,-74317
2983,-855.5559,-244689
2984,-784.4303,-129431
2985,-981.9593,-120781
2986,-600.1111,-70213
2987,-584.0354,-65996
2988,-912.3958,-43795
2989,-847.2131,-258400
2990,-829.4706,-155111
2991,-952.6972,-103844
2992,-541.5618,-48199
2993,-571.1930,-65116
2994,-489.6406,-31337
2995,-815.7124,-243898
2996,-866.1023,-152434
2997,-660.2519,-89134
2998,-781.0551,-99194
2999,-941.4766,-120509
3000,-1120.2903,-69458
3001,-848.3045,-245160
3002,-679.0714,-123591
3003,-1420.0213,-133482
3004,-778.9286,-98145
3005,-643.8796,-69539
3006,-656.0370,-35426
3007,-1075.8664,-298015
3008,-762.4094,-130372
3009,-1001.9699,-133262
3010,-368.1228,-41966
3011,-903.9113,-112085
3012,-1164.3833,-69863
3013,-816.3481,-220414
3014,-672.6038,-106944
3015,-890.5000,-94393
3016,-764.1382,-93989
3017,-698.3250,-83799
3018,-707.7250,-28309
3019,-816.3786,-252261
3020,-806.3576,-133049
3021,-670.5804,-75105
3022,-852.7807,-97217
3023,-897.5250,-107703
3024,-580.6393,-35419
3025,-912.5607,-292932
3026,-619.7178,-101014
3027,-819.8309,-111497
3028,-830.0099,-83831
3029,-1191.7850,-127521
3030,-309.9362,-14567
3031,-700.7355,-193403
3032,-717.6705,-124157
3033,-1013.0818,-111439
3034,-993.0183,-108239
3035,-1150.9716,-162287
3036,-1144.2055,-83527
3037,-719.0954,-188403
3038,-932.6294,-158547
3039,-884.4237,-104362
3040,-743.9292,-84064
3041,-994.2845,-115337
3042,-845.8136,-49903
3043,-699.4833,-188161
3044,-849.3774,-135051
3045,-1038.9216,-105970
3046,-772.1111,-97286
3047,-771.0870,-106410
3048,-1040.3922,-53060
3049,-832.6418,-223148
3050,-833.1152,-159125
3051,-839.5093,-90667
3052,-712.2818,-78351
3053,-1002.1613,-124268
3054,-1185.8235,-60477
3055,-821.5294,-237422
3056,-715.3924,-113032
3057,-837.9829,-98044
3058,-1015.7156,-110713
3059,-908.4958,-108111
3060,-1059.9259,-57236
3061,-651.8311,-192942
3062,-791.0184,-128936
3063,-1060.2348,-121927
3064,-767.8154,-99816
3065,-969.3304,-108565
3066,-469.9437,-33366
3067,-850.0867,-255026
3068,-1033.8882,-166456
3069,-623.8058,-86709
3070,-940.7190,-113827
3071,-806.1288,-106409
3072,-1060.0758,-69965
3073,-824.4317,-259696
3074,-829.1344,-154219
3075,-614.5306,-60224
3076,-621.0902,-75773
3077,-904.3492,-113948
3078,-445.5660,-23615
3079,-873.2198,-282050
3080,-929.0127,-145855
3081,-668.4779,-75538
3082,-763.1304,-87760
3083,-792.3545,-87159
3084,-1099.2000,-76944
3085,-757.3547,-224177
3086,-642.7861,-111202
3087,-784.7217,-90243
3088,-912.3577,-112220
3089,-553.7727,-60915
3090,-419.8387,-26030
3091,-802.2984,-244701
3092,-864.2892,-143472
3093,-806.3833,-96766
3094,-800.1769,-117626
3095,-528.1811,-67079
3096,-687.7971,-47458
3097,-1072.8885,-288607
3098,-942.5611,-169661
3099,-830.3597,-115420
3100,-874.6694,-105835
3101,-598.4906,-63440
3102,-859.4143,-60159
3103,-982.6136,-289871
3104,-731.9167,-131745
3105,-795.2929,-111341
3106,-604.0095,-63421
3107,-868.1200,-86812
3108,-1017.8772,-58019
3109,-791.3237,-219988
3110,-846.6424,-139696
3111,-729.2957,-83869
3112,-905.6581,-105962
3113,-1136.5500,-136386
3114,-882.5556,-55601
3115,-767.3427,-219460
3116,-1047.3584,-181193
3117,-875.3364,-96287
3118,-711.6098,-87528
3119,-597.2481,-79434
3120,-1119.1569,-57077
3121,-792.4007,-235343
3122,-842.1457,-127164
3123,-1172.2095,-123082
3124,-924.5820,-112799
3125,-709.1308,-92187
3126,-743.0169,-43838
3127,-835.6182,-229795
3128,-965.2063,-182424
3129,-609.4531,-78010
3130,-702.4957,-82192
3131,-746.0096,-77585
3132,-1003.6102,-59213
3133,-866.8121,-244441
3134,-726.8654,-113391
3135,-817.2162,-90711
3136,-940.4659,-82761
3137,-797.0000,-80497
3138,-1233.0882,-83850
3139,-789.3226,-220221
3140,-840.6339,-153836
3141,-979.5000,-127335
3142,-681.1885,-83105
3143,-670.4184,-65701
3144,-961.5667,-57694
3145,-778.8949,-214975
3146,-944.7813,-181398
3147,-1028.9609,-131707
3148,-1094.8532,-119339
3149,-891.3945,-97162
3150,-1248.8000,-62440
3151,-845.5485,-252819
3152,-623.5000,-105995
3153,-837.1429,-105480
3154,-995.8720,-124484
3155,-887.3659,-109146
3156,-567.0926,-30623
3157,-680.0329,-206730
3158,-826.3455,-157832
3159,-809.5888,-86626
3160,-943.0714,-105624
3161,-932.6349,-117512
3162,-830.5161,-51492
3163,-979.5255,-268390
3164,-596.7407,-96672
3165,-881.4167,-116347
3166,-836.3232,-82796
3167,-854.4919,-105957
3168,-1108.3810,-69828
3169,-978.5522,-262252
3170,-1006.2228,-194201
3171,-824.8224,-88256
3172,-928.5152,-91923
3173,-1107.2880,-138411
3174,-551.1964,-30867
3175,-861.0157,-274664
3176,-729.0682,-128316
3177,-1127.1450,-147656
3178,-871.4050,-105440
3179,-1014.7059,-120750
3180,-1222.7049,-74585
3181,-696.4844,-201284
3182,-906.2961,-137757
3183,-687.2981,-71479
3184,-849.3417,-101921
3185,-901.5660,-95566
3186,-571.0172,-33119
3187,-805.2525,-242381
3188,-630.5241,-104667
3189,-759.2541,-92629
3190,-852.3629,-105693
3191,-873.8934,-106615
3192,-1052.3333,-66297
3193,-966.3961,-297650
3194,-946.9487,-147724
3195,-831.1349,-104723
3196,-1173.6508,-147880
3197,-925.0256,-108228
3198,-775.3929,-43422
3199,-735.2492,-227192
3200,-694.4884,-119452
3201,-690.5405,-76650
3202,-777.0320,-97129
3203,-696.1727,-76579
3204,-780.3968,-49165
3205,-929.7712,-296597
3206,-743.0000,-132997
3207,-731.6250,-70236
3208,-1047.2703,-116247
3209,-699.9515,-72095
3210,-890.4262,-54316
3211,-767.0533,-230116
3212,-629.5497,-120244
3213,-841.3607,-102646
3214,-794.2286,-83394
3215,-836.5714,-111264
3216,-887.0690,-51450
3217,-840.9871,-259865
3218,-948.5936,-177387
3219,-498.6260,-65320
3220,-1041.9444,-112530
3221,-558.3814,-65889
3222,-870.4808,-45265
3223,-776.2273,-239078
3224,-878.5635,-159020
3225,-755.8974,-88440
3226,-780.1901,-94403
3227,-594.3566,-76672
3228,-683.3288,-49883
3229,-722.3013,-218135
3230,-796.2791,-136960
3231,-938.2500,-97578
3232,-962.8220,-113613
3233,-681.3840,-85173
3234,-957.7833,-57467
3235,-765.7875,-219781
3236,-820.8072,-136254
3237,-1081.9714,-113607
3238,-1098.5133,-124132
3239,-951.8156,-134206
3240,-749.4848,-49466
3241,-1029.4348,-331478
3242,-774.8449,-144896
3243,-599.2566,-67716
3244,-804.3481,-108587
3245,-738.5614,-84196
3246,-957.6833,-57461
3247,-715.5862,-207520
3248,-609.4918,-111537
3249,-745.0547,-95367
3250,-834.5492,-101815
3251,-715.7542,-84459
3252,-876.8769,-56997
3253,-765.3973,-223496
3254,-734.8070,-125652
3255,-793.3934,-96794
3256,-770.1468,-83946
3257,-1015.7710,-133066
3258,-911.4600,-45573
3259,-785.2273,-241850
3260,-892.1923,-162379
3261,-923.8261,-106240
3262,-875.4361,-116433
3263,-732.2574,-99587
3264,-1011.9091,-55655
3265,-925.7872,-261072
3266,-1046.2060,-208195
3267,-970.0179,-108642
3268,-884.9065,-94685
3269,-704.9022,-64851
3270,-746.1719,-47755
3271,-816.1533,-223626
3272,-898.2022,-159880
3273,-595.4912,-67886
3274,-1161.9667,-139436
3275,-860.1150,-97193
3276,-910.8235,-46452
3277,-831.2990,-250221
3278,-886.8990,-175606
3279,-972.1565,-111798
3280,-1320.3228,-167681
3281,-824.2845,-95617
3282,-496.7636,-27322
3283,-772.2177,-227032
3284,-846.0400,-148057
3285,-838.7121,-110710
3286,-976.0783,-112249
3287,-631.4400,-78930
3288,-810.8143,-56757
3289,-901.7380,-244371
3290,-1042.5838,-180367
3291,-810.4470,-106979
3292,-883.6923,-80416
3293,-766.8492,-96623
3294,-751.7879,-49618
3295,-864.9967,-260364
3296,-756.3964,-127831
3297,-674.2195,-82929
3298,-831.6916,-88991
3299,-705.5268,-79019
3300,-797.6271,-47060
3301,-840.9874,-266593
3302,-925.8118,-172201
3303,-1065.8934,-130039
3304,-994.2170,-105387
3305,-959.5630,-114188
3306,-792.3455,-43579
3307,-908.2761,-269758
3308,-653.0059,-111011
3309,-739.9646,-83616
3310,-1293.4815,-174620
3311,-824.1513,-98074
3312,-848.4918,-51758
3313,-903.1906,-270054
3314,-769.1746,-145374
3315,-953.8739,-113511
3316,-940.5702,-113809
3317,-716.3525,-87395
3318,-878.4333,-52706
3319,-894.3926,-241486
3320,-659.4023,-114736
3321,-622.1944,-89596
3322,-664.6339,-74439
3323,-928.6723,-110512
3324,-807.4098,-49252
3325,-685.2051,-187061
3326,-649.7243,-120199
3327,-957.3774,-101482
3328,-937.7297,-104088
3329,-1146.4545,-138721
3330,-492.8214,-27598
3331,-931.8000,-242268
3332,-999.4069,-203879
3333,-700.7615,-76383
3334,-938.9016,-114546
3335,-659.7250,-79167
3336,-756.9630,-40876
3337,-892.6416,-261544
3338,-1094.1161,-169588
3339,-1271.7154,-165323
3340,-875.6496,-102451
3341,-859.8400,-107480
3342,-960.8305,-56689
3343,-985.3061,-289680
3344,-640.6686,-108273
3345,-791.1579,-105224
3346,-620.9746,-73275
3347,-838.0992,-101410
3348,-653.9355,-40544
3349,-902.7067,-270812
3350,-872.2342,-137813
3351,-787.4417,-94493
3352,-845.8537,-104040
3353,-1028.7206,-139906
3354,-866.4426,-52853
3355,-818.1373,-208625
3356,-722.2785,-114120
3357,-831.5962,-86486
3358,-683.3833,-82006
3359,-749.9060,-87739
3360,-949.4754,-57918
3361,-721.1362,-201197
3362,-811.5134,-151753
3363,-907.7607,-106208
3364,-919.1019,-99263
3365,-946.4595,-105057
3366,-1267.7797,-74799
3367,-699.6280,-229478
3368,-575.6519,-104193
3369,-464.1901,-56167
3370,-765.2477,-83412
3371,-717.5094,-76056
3372,-1049.0577,-54551
3373,-986.5000,-272274
3374,-751.9045,-118049
3375,-654.1493,-87656
3376,-714.9748,-85082
3377,-995.3145,-123419
3378,-1030.6897,-59780
3379,-789.8389,-235372
3380,-942.2370,-163007
3381,-1060.7073,-130467
3382,-847.4733,-111019
3383,-1033.4790,-122984
3384,-386.5424,-22806
3385,-923.9690,-298442
3386,-618.0481,-115575
3387,-646.0381,-67834
3388,-543.0467,-58106
3389,-536.8696,-61740
3390,-991.0411,-72346
3391,-731.4624,-204078
3392,-844.2931,-146907
3393,-681.9688,-65469
3394,-816.4630,-88178
3395,-486.8417,-58421
3396,-682.3448,-39576
3397,-967.2535,-274700
3398,-789.1195,-125470
3399,-738.3981,-79747
3400,-794.7241,-92188
3401,-705.7570,-75516
3402,-515.4561,-29381
3403,-864.8910,-269846
3404,-1069.8377,-164755
3405,-625.8730,-78860
3406,-891.8113,-94532
3407,-816.3193,-97142
3408,-424.9057,-22520
3409,-857.4656,-224656
3410,-894.1117,-168093
3411,-633.5980,-64627
3412,-998.8087,-114863
3413,-598.2458,-70593
3414,-990.8857,-69362
3415,-710.9927,-194101
3416,-905.7857,-152172
3417,-1187.7900,-118779
3418,-776.4530,-90845
3419,-669.3462,-69612
3420,-874.2877,-63823
3421,-909.7483,-271105
3422,-880.6278,-158513
3423,-586.4672,-71549
3424,-1134.4545,-124790
3425,-1189.6078,-121340
3426,-904.0395,-68707
3427,-881.9553,-256649
3428,-741.0698,-127464
3429,-839.2773,-99874
3430,-704.8609,-81059
3431,-736.2288,-86875
3432,-1182.1698,-62655
3433,-789.1063,-237521
3434,-810.1056,-130427
3435,-828.0339,-97708
3436,-614.9462,-79943
3437,-876.3310,-124439
3438,-817.7222,-58876
3439,-897.4142,-277301
3440,-709.0309,-137552
3441,-813.2268,-78883
3442,-944.8273,-103931
3443,-780.7500,-93690
3444,-465.4906,-24671
3445,-835.9895,-239093
3446,-484.6625,-77546
3447,-809.5526,-92289
3448,-971.1343,-130132
3449,-518.7692,-60696
3450,-869.5439,-49564
3451,-772.4491,-220148
3452,-793.3174,-132484
3453,-941.3814,-111083
3454,-861.4574,-111128
3455,-789.4274,-97889
3456,-941.1818,-51765
3457,-939.2921,-273334
3458,-835.2195,-171220
3459,-966.1695,-114008
3460,-1044.3529,-106524
3461,-807.9813,-86454
3462,-1211.5075,-81171
3463,-852.8908,-249897
3464,-897.5266,-151682
3465,-750.3478,-86290
3466,-1187.4795,-173372
3467,-802.5816,-113164
3468,-658.6197,-46762
3469,-726.9302,-218806
3470,-726.5087,-125686
3471,-662.9022,-60987
3472,-644.8770,-78675
3473,-875.4872,-102432
3474,-1019.7551,-49968
3475,-939.9312,-259421
3476,-631.2327,-100366
3477,-774.7851,-93749
3478,-712.0450,-79037
3479,-1043.8319,-124216
3480,-752.1176,-38358
3481,-774.2934,-245451
3482,-857.5404,-138064
3483,-891.2321,-99818
3484,-892.9147,-115186
3485,-841.4138,-97604
3486,-698.6719,-44715
3487,-818.6360,-222669
3488,-905.6836,-160306
3489,-755.1473,-97414
3490,-960.8833,-115306
3491,-667.4425,-75421
3492,-805.1698,-42674
3493,-781.8439,-245499
3494,-936.8247,-181744
3495,-1110.8542,-106642
3496,-975.0000,-130650
3497,-1220.0459,-132985
3498,-552.8158,-42014
3499,-852.4915,-251485
3500,-870.7889,-173287
3501,-944.3475,-111433
3502,-857.0745,-80565
3503,-599.0374,-64097
3504,-948.5455,-52170
3505,-815.1613,-227430
3506,-858.6291,-129653
3507,-952.4132,-115242
3508,-965.6216,-107184
3509,-859.2167,-103106
3510,-712.3973,-52005
3511,-649.7476,-203371
3512,-981.1706,-166799
3513,-842.4615,-87616
3514,-1033.9492,-122006
3515,-1107.8476,-116324
3516,-621.5224,-41642
3517,-1069.0253,-337812
3518,-700.9145,-106539
3519,-690.6107,-90470
3520,-1061.2150,-113550
3521,-919.2800,-91928
3522,-880.8070,-50206
3523,-1000.4881,-293143
3524,-695.6347,-116171
3525,-1141.6970,-150704
3526,-936.9160,-111493
3527,-700.7788,-79188
3528,-749.8222,-33742
3529,-841.5709,-237323
3530,-525.0331,-95031
3531,-832.1165,-85708
3532,-516.9216,-52726
3533,-839.8440,-91543
3534,-1196.7241,-69410
3535,-937.7204,-261624
3536,-831.9394,-137270
3537,-857.5268,-96043
3538,-962.1034,-111604
3539,-607.2283,-77118
3540,-866.9825,-49418
3541,-1006.3646,-278763
3542,-718.3010,-147970
3543,-556.5833,-73469
3544,-935.1045,-125304
3545,-592.8889,-74704
3546,-834.6275,-42566
3547,-960.3574,-266019
3548,-926.5207,-156582
3549,-798.9250,-95871
3550,-675.1818,-66843
3551,-1095.6271,-129284
3552,-777.3607,-47419
3553,-964.0478,-262221
3554,-1046.1687,-173664
3555,-795.7928,-88333
3556,-489.5514,-52382
3557,-786.8992,-93641
3558,-731.2000,-43872
3559,-948.7716,-274195
3560,-885.1556,-159328
3561,-897.2479,-108567
3562,-1108.9701,-148602
3563,-935.2619,-117843
3564,-885.0526,-50448
3565,-817.9253,-251921
3566,-1049.0690,-182538
3567,-790.9748,-94126
3568,-673.7414,-78154
3569,-894.8120,-104693
3570,-850.0000,-36550
3571,-918.0364,-252460
3572,-750.9728,-138179
3573,-918.3243,-101934
3574,-835.2174,-96050
3575,-970.7857,-108728
3576,-797.0357,-44634
3577,-696.4111,-188031
3578,-920.8494,-152861
3579,-575.1818,-69597
3580,-835.6239,-91083
3581,-1114.1860,-143730
3582,-544.4921,-34303
3583,-861.4424,-231728
3584,-1110.2097,-206499
3585,-754.9767,-97392
3586,-667.8516,-85485
3587,-797.6154,-93321
3588,-629.4603,-39656
3589,-768.6551,-220604
3590,-723.2881,-128022
3591,-901.4118,-107268
3592,-951.6579,-108489
3593,-1170.1442,-121695
3594,-766.6786,-42934
3595,-932.8508,-275191
3596,-860.4942,-148005
3597,-816.0333,-97924
3598,-919.8806,-123264
3599,-834.6593,-112679
3600,-948.9138,-55037
3601,-836.9053,-238518
3602,-862.7528,-153570
3603,-976.8819,-124064
3604,-772.9220,-108982
3605,-629.5505,-68621
3606,-935.2778,-50505
3607,-884.0803,-242238
3608,-892.4749,-159753
3609,-1061.7387,-117853
3610,-694.0642,-75653
3611,-774.8333,-111576
3612,-968.2759,-56160
3613,-790.7148,-230098
3614,-840.0053,-157921
3615,-866.4159,-97905
3616,-940.4237,-110970
3617,-725.7864,-74756
3618,-869.1356,-51279
3619,-989.2552,-286884
3620,-742.4852,-125480
3621,-719.5476,-90663
3622,-1216.8598,-130204
3623,-737.0256,-86232
3624,-1042.0727,-57314
3625,-907.1347,-269419
3626,-635.5556,-108680
3627,-595.7719,-67918
3628,-1021.8454,-99119
3629,-938.7714,-98571
3630,-964.0566,-51095
3631,-829.6890,-234802
3632,-932.5091,-153864
3633,-795.8702,-104259
3634,-543.1481,-58660
3635,-739.0451,-98293
3636,-994.4127,-62648
3637,-583.6168,-187341
3638,-837.1040,-144819
3639,-452.6422,-49338
3640,-670.8350,-69096
3641,-866.2821,-101355
3642,-879.8333,-36953
3643,-805.4632,-229557
3644,-936.9530,-139606
3645,-701.7290,-75085
3646,-1015.0849,-107599
3647,-789.3113,-83667
3648,-695.8475,-41055
3649,-840.0906,-241106
3650,-878.4774,-136164
3651,-988.8381,-103828
3652,-717.2946,-92531
3653,-1109.8478,-102106
3654,-892.4423,-46407
3655,-832.6444,-236471
3656,-657.2278,-118301
3657,-924.4486,-98916
3658,-789.6218,-93965
3659,-807.7480,-99353
3660,-1042.6094,-66727
3661,-679.6857,-190312
3662,-684.4706,-116360
3663,-662.7573,-68264
3664,-708.4867,-80059
3665,-807.8448,-93710
3666,-694.0000,-33312
3667,-753.7930,-214831
3668,-777.5619,-150847
3669,-630.1563,-60495
3670,-773.0490,-78851
3671,-598.3672,-76591
3672,-1212.0423,-86055
3673,-809.7862,-223501
3674,-808.5169,-143916
3675,-857.7727,-94355
3676,-803.8103,-93242
3677,-862.5714,-84532
3678,-783.6154,-40748
3679,-976.5610,-280273
3680,-947.3405,-175258
3681,-721.3223,-87280
3682,-683.8190,-79323
3683,-600.8992,-77516
3684,-789.0615,-51289
3685,-801.4418,-234021
3686,-922.4128,-158655
3687,-904.2817,-128408
3688,-673.7027,-74781
3689,-753.9627,-101031
3690,-961.6667,-69240
3691,-614.8567,-184457
3692,-655.8382,-113460
3693,-685.9904,-71343
3694,-799.9744,-93597
3695,-944.8649,-104880
3696,-1178.6129,-73074
3697,-825.6753,-223758
3698,-713.0361,-118364
3699,-657.6198,-79572
3700,-899.3089,-110615
3701,-843.4930,-119776
3702,-913.4909,-50242
3703,-828.5839,-236975
3704,-897.6437,-156190
3705,-765.6694,-94943
3706,-915.0367,-99739
3707,-802.2385,-87444
3708,-866.6716,-58067
3709,-870.4258,-269832
3710,-871.7355,-135119
3711,-799.4261,-91934
3712,-931.0583,-111727
3713,-769.9098,-102398
3714,-882.9091,-48560
3715,-883.7717,-274853
3716,-795.6455,-150377
3717,-994.5263,-113376
3718,-425.5283,-45106
3719,-1120.0538,-145607
3720,-567.9091,-31235
3721,-818.2199,-238102
3722,-602.2560,-101179
3723,-880.7823,-109217
3724,-797.2661,-98861
3725,-725.7398,-89266
3726,-1174.9636,-64623
3727,-790.3636,-234738
3728,-705.2994,-117785
3729,-769.8583,-92383
3730,-416.3137,-42464
3731,-629.9070,-81258
3732,-588.2308,-38235
3733,-1030.8561,-293794
3734,-1176.4833,-211767
3735,-891.6929,-113245
3736,-757.8099,-91695
3737,-726.6642,-99553
3738,-1139.7059,-58125
3739,-682.5355,-211586
3740,-741.1364,-146745
3741,-900.8000,-81072
3742,-827.0000,-86835
3743,-772.8689,-94290
3744,-364.7931,-21158
3745,-708.5199,-196260
3746,-847.3253,-140656
3747,-938.4286,-105104
3748,-780.6387,-92896
3749,-949.2544,-108215
3750,-1046.9057,-55486
3751,-790.2347,-218895
3752,-855.4130,-157396
3753,-867.2692,-112745
3754,-712.0932,-84027
3755,-804.2199,-113395
3756,-991.7308,-51570
3757,-717.0320,-201486
3758,-967.5398,-170287
3759,-864.6441,-102028
3760,-935.3858,-118794
3761,-1104.5691,-135862
3762,-1039.1639,-63389
3763,-847.2313,-249086
3764,-821.5198,-145409
3765,-1099.9493,-151793
3766,-946.5739,-108856
3767,-772.0952,-97284
3768,-459.4500,-27567
3769,-739.9085,-210134
3770,-1020.8790,-160278
3771,-912.9832,-108645
3772,-880.8333,-100415
3773,-732.8468,-81346
3774,-534.7656,-34225
3775,-754.7183,-214340
3776,-799.6279,-137536
3777,-534.1905,-56090
3778,-744.0690,-86312
3779,-935.6348,-107598
3780,-880.3243,-65144
3781,-965.2819,-250008
3782,-706.3780,-115846
3783,-942.2409,-129087
3784,-730.3000,-87636
3785,-1120.5194,-144547
3786,-1179.6545,-64881
3787,-844.6042,-239023
3788,-540.1622,-79944
3789,-717.5950,-86829
3790,-822.8103,-95446
3791,-638.2150,-68289
3792,-537.7925,-28503
3793,-724.5083,-218077
3794,-780.8506,-135868
3795,-918.9225,-118541
3796,-921.5161,-114268
3797,-450.2752,-49080
3798,-574.2424,-37900
3799,-840.8687,-249738
3800,-691.8712,-112775
3801,-720.5909,-79265
3802,-549.3208,-58228
3803,-991.2049,-120927
3804,-662.0143,-46341
3805,-764.0101,-226147
3806,-858.4500,-154521
3807,-738.3387,-91554
3808,-693.1967,-84570
3809,-564.7241,-65508
3810,-757.1404,-43157
3811,-595.5379,-172706
3812,-768.2096,-128291
3813,-1062.5039,-134938
3814,-701.8083,-84217
3815,-620.3299,-60172
3816,-764.8310,-54303
3817,-908.2256,-241588
3818,-831.1531,-162906
3819,-966.5439,-110186
3820,-665.7090,-89205
3821,-1104.6154,-114880
3822,-1167.9831,-68911
3823,-738.0075,-196310
3824,-680.5751,-131351
3825,-552.8786,-77403
3826,-845.3761,-98909
3827,-848.0574,-103463
3828,-206.9231,-8070
3829,-799.0159,-251690
3830,-866.6331,-146461
3831,-836.3984,-102877
3832,-1003.2091,-110353
3833,-830.1404,-94636
3834,-875.5208,-42025
3835,-860.3177,-257235
3836,-1012.2761,-165001
3837,-860.2764,-105814
3838,-715.7460,-90184
3839,-844.7172,-122484
3840,-266.8793,-15479
3841,-801.4116,-221991
3842,-788.2866,-123761
3843,-701.9375,-78617
3844,-840.7317,-103410
3845,-764.8505,-81839
3846,-811.3051,-47867
3847,-946.7825,-269833
3848,-1188.5466,-191356
3849,-688.5078,-88129
3850,-623.2931,-72302
3851,-699.3740,-86023
3852,-897.9667,-53878
3853,-874.2928,-265785
3854,-820.2903,-152574
3855,-984.4909,-108294
3856,-658.4955,-73093
3857,-662.9487,-77565
3858,-543.6301,-39685
3859,-946.2014,-277237
3860,-788.9064,-134903
3861,-471.7130,-50945
3862,-613.3645,-65630
3863,-800.5766,-88864
3864,-594.9545,-39267
3865,-888.9700,-237355
3866,-649.9069,-132581
3867,-598.3333,-78980
3868,-629.4186,-81195
3869,-743.6075,-79566
3870,-697.2881,-41140
3871,-800.1741,-234451
3872,-796.8217,-125101
3873,-995.0333,-119404
3874,-876.6719,-112214
3875,-881.5979,-85515
3876,-651.0423,-46224
3877,-817.0588,-250020
3878,-803.2593,-130128
3879,-647.5000,-78995
